Type,Deployment ID,Date,Time,Latitude,Longitude,,,,,,,,
Miniboat,190410706,11/14/19,15:46,41.898358,-70.132148,,,,,,,,
Miniboat,190410706,11/14/19,16:41,41.913475,-70.120583,,,,,,,,
Miniboat,190410706,11/14/19,17:42,41.942389,-70.116527,,,,,,,,
Miniboat,190410706,11/14/19,18:43,41.977097,-70.126097,,,,,,,,
Miniboat,190410706,11/14/19,19:37,42.013339,-70.13835,,,,,,,,
Miniboat,190410706,11/14/19,20:40,42.057348,-70.138972,,,,,,,,
Miniboat,190410706,11/14/19,21:41,42.057499,-70.138736,,,,,,,,
Surface Turtle,S4741,11/14/19,15:45,41.8982,-70.1326,,,,,,,,
Surface Turtle,S4741,11/14/19,16:45,41.8982,-70.1316,,,,,,,,
Surface Turtle,S4741,11/14/19,17:45,41.9022,-70.1347,,,,,,,,
Surface Turtle,S4741,11/14/19,18:45,41.9092,-70.1401,,,,,,,,
Surface Turtle,S4741,11/14/19,19:45,41.9182,-70.1457,,,,,,,,
Surface Turtle,S4741,11/14/19,20:45,41.9278,-70.1499,,,,,,,,
Surface Turtle,S4741,11/14/19,21:45,41.9365,-70.154,,,,,,,,
Surface Turtle,S4741,11/14/19,22:45,41.9423,-70.1608,,,,,,,,
Surface Turtle,S4741,11/14/19,23:45,41.9467,-70.1648,,,,,,,,
Surface Turtle,S4741,11/15/19,0:45,41.9477,-70.1663,,,,,,,,
Surface Turtle,S4741,11/15/19,1:45,41.9491,-70.1651,,,,,,,,
Surface Turtle,S4741,11/15/19,2:45,41.9503,-70.1639,,,,,,,,
Surface Turtle,S4741,11/15/19,3:45,41.9505,-70.1619,,,,,,,,
Surface Turtle,S4741,11/15/19,4:45,41.9499,-70.1579,,,,,,,,
Surface Turtle,S4741,11/15/19,5:46,41.9491,-70.1502,,,,,,,,
Surface Turtle,S4741,11/15/19,6:45,41.9501,-70.1427,,,,,,,,
Surface Turtle,S4741,11/15/19,7:45,41.9508,-70.1344,,,,,,,,
Surface Turtle,S4741,11/15/19,8:45,41.9536,-70.1268,,,,,,,,
Surface Turtle,S4741,11/15/19,9:45,41.9577,-70.1204,,,,,,,,
Surface Turtle,S4741,11/15/19,10:45,41.9621,-70.1127,,,,,,,,
Surface Turtle,S4741,11/15/19,11:45,41.965,-70.1039,,,,,,,,
Surface Turtle,S4741,11/15/19,12:45,41.9677,-70.0948,,,,,,,,
Surface Turtle,S4741,11/15/19,13:45,41.9708,-70.0868,,,,,,,,
Surface Turtle,S4741,11/15/19,14:45,41.9751,-70.0799,,,,,,,,
Surface Turtle,S4741,11/15/19,15:44,41.9786,-70.0773,,,,,,,,
Surface Turtle,S4741,11/15/19,16:36,41.9786,-70.077,,,,,,,,
Surface,190410705,11/14/19,15:45,41.8982,-70.1326,,,,,,,,
Surface,190410705,11/14/19,16:30,41.896148,-70.131569,,,,,,,,
Surface,190410705,11/14/19,17:36,41.897188,-70.133779,,,,,,,,
Surface,190410705,11/14/19,18:37,41.901963,-70.138028,,,,,,,,
Surface,190410705,11/14/19,19:35,41.907585,-70.14219,,,,,,,,
Surface,190410705,11/14/19,20:43,41.91473,-70.145688,,,,,,,,
Surface,190410705,11/14/19,21:52,41.920899,-70.148327,,,,,,,,
Surface,190410705,11/14/19,22:49,41.923839,-70.149894,,,,,,,,
Surface,190410705,11/14/19,23:55,41.924568,-70.149143,,,,,,,,
Surface,190410705,11/15/19,0:50,41.923431,-70.148006,,,,,,,,
Surface,190410705,11/15/19,1:55,41.921446,-70.145602,,,,,,,,
Surface,190410705,11/15/19,2:50,41.918753,-70.143392,,,,,,,,
Surface,190410705,11/15/19,3:42,41.91591,-70.140903,,,,,,,,
Surface,190410705,11/15/19,4:41,41.91311,-70.138521,,,,,,,,
Surface,190410705,11/15/19,5:45,41.912831,-70.136268,,,,,,,,
Surface,190410705,11/15/19,6:39,41.914666,-70.135109,,,,,,,,
Surface,190410705,11/15/19,7:45,41.918153,-70.133328,,,,,,,,
Surface,190410705,11/15/19,8:45,41.922047,-70.132277,,,,,,,,
Surface,190410705,11/15/19,9:46,41.927154,-70.131526,,,,,,,,
Surface,190410705,11/15/19,10:53,41.931349,-70.129616,,,,,,,,
Surface,190410705,11/15/19,12:02,41.932626,-70.125217,,,,,,,,
Surface,190410705,11/15/19,13:01,41.931757,-70.119445,,,,,,,,
Surface,190410705,11/15/19,14:07,41.930759,-70.113223,,,,,,,,
Surface,190410705,11/15/19,15:13,41.930652,-70.107429,,,,,,,,
Surface,190410705,11/15/19,16:04,41.930963,-70.103438,,,,,,,,
Surface,190410705,11/15/19,17:15,41.932991,-70.099146,,,,,,,,
Sub-surface turtle,190410708,11/14/19,15:45,41.8982,-70.1326,,,,,,,,
Sub-surface turtle,190410708,11/14/19,16:12,41.896942,-70.131998,,,,,,,,
Sub-surface turtle,190410708,11/14/19,17:12,41.897103,-70.133028,,,,,,,,
Sub-surface turtle,190410708,11/14/19,18:10,41.900225,-70.136547,,,,,,,,
Sub-surface turtle,190410708,11/14/19,22:24,41.924096,-70.153263,,,,,,,,
Sub-surface turtle,190410708,11/15/19,0:27,41.927379,-70.155237,,,,,,,,
Sub-surface turtle,190410708,11/15/19,1:20,41.926231,-70.153906,,,,,,,,
Sub-surface turtle,190410708,11/15/19,2:15,41.925191,-70.150859,,,,,,,,
Sub-surface turtle,190410708,11/15/19,3:24,41.922745,-70.14719,,,,,,,,
Sub-surface turtle,190410708,11/15/19,5:05,41.919247,-70.141439,,,,,,,,
Sub-surface turtle,190410708,11/15/19,20:58,41.967655,-70.098889,,,,,,,,
Miniboat,1904107014,11/19/19,15:26,41.896877,-70.134423,,,,,,,,
Miniboat,1904107014,11/19/19,16:36,41.906329,-70.115733,,,,,,,,
