Type,Deployment ID,Date,Time,Latitude,Longitude,Cluster
Miniboat,190410706,11/14/2019,15:46,41.898358,-70.132148,1
Miniboat,190410706,11/14/2019,16:41,41.913475,-70.120583,1
Miniboat,190410706,11/14/2019,17:42,41.942389,-70.116527,1
Miniboat,190410706,11/14/2019,18:43,41.977097,-70.126097,1
Miniboat,190410706,11/14/2019,19:37,42.013339,-70.13835,1
Miniboat,190410706,11/14/2019,20:40,42.057348,-70.138972,1
Miniboat,190410706,11/14/2019,21:41,42.057499,-70.138736,1
Surface Turtle,S4741,11/14/2019,15:45,41.8982,-70.1326,1
Surface Turtle,S4741,11/14/2019,16:45,41.8982,-70.1316,1
Surface Turtle,S4741,11/14/2019,17:45,41.9022,-70.1347,1
Surface Turtle,S4741,11/14/2019,18:45,41.9092,-70.1401,1
Surface Turtle,S4741,11/14/2019,19:45,41.9182,-70.1457,1
Surface Turtle,S4741,11/14/2019,20:45,41.9278,-70.1499,1
Surface Turtle,S4741,11/14/2019,21:45,41.9365,-70.154,1
Surface Turtle,S4741,11/14/2019,22:45,41.9423,-70.1608,1
Surface Turtle,S4741,11/14/2019,23:45,41.9467,-70.1648,1
Surface Turtle,S4741,11/15/2019,0:45,41.9477,-70.1663,1
Surface Turtle,S4741,11/15/2019,1:45,41.9491,-70.1651,1
Surface Turtle,S4741,11/15/2019,2:45,41.9503,-70.1639,1
Surface Turtle,S4741,11/15/2019,3:45,41.9505,-70.1619,1
Surface Turtle,S4741,11/15/2019,4:45,41.9499,-70.1579,1
Surface Turtle,S4741,11/15/2019,5:46,41.9491,-70.1502,1
Surface Turtle,S4741,11/15/2019,6:45,41.9501,-70.1427,1
Surface Turtle,S4741,11/15/2019,7:45,41.9508,-70.1344,1
Surface Turtle,S4741,11/15/2019,8:45,41.9536,-70.1268,1
Surface Turtle,S4741,11/15/2019,9:45,41.9577,-70.1204,1
Surface Turtle,S4741,11/15/2019,10:45,41.9621,-70.1127,1
Surface Turtle,S4741,11/15/2019,11:45,41.965,-70.1039,1
Surface Turtle,S4741,11/15/2019,12:45,41.9677,-70.0948,1
